,pathway_id,pathway_name,edit
0,mmu00010,Glycolysis_/_Gluconeogenesis,1.0
1,mmu00020,Citrate_cycle_(TCA_cycle),1.0
2,mmu00030,Pentose_phosphate_pathway,1.0
3,mmu00040,Pentose_and_glucuronate_interconversions,1.0
4,mmu00051,Fructose_and_mannose_metabolism,1.0
5,mmu00052,Galactose_metabolism,1.0
6,mmu00053,Ascorbate_and_aldarate_metabolism,1.0
7,mmu00061,Fatty_acid_biosynthesis,1.0
8,mmu00062,Fatty_acid_elongation,1.0
9,mmu00071,Fatty_acid_degradation,1.0
10,mmu00072,Synthesis_and_degradation_of_ketone_bodies,1.0
11,mmu00100,Steroid_biosynthesis,1.0
12,mmu00120,Primary_bile_acid_biosynthesis,1.0
13,mmu00130,Ubiquinone_and_other_terpenoid-quinone_biosynthesis,1.0
14,mmu00140,Steroid_hormone_biosynthesis,1.0
15,mmu00190,Oxidative_phosphorylation,1.0
16,mmu00220,Arginine_biosynthesis,1.0
17,mmu00230,Purine_metabolism,1.0
18,mmu00232,Caffeine_metabolism,1.0
19,mmu00240,Pyrimidine_metabolism,1.0
20,mmu00250,"Alanine,_aspartate_and_glutamate_metabolism",1.0
21,mmu00260,"Glycine,_serine_and_threonine_metabolism",1.0
22,mmu00270,Cysteine_and_methionine_metabolism,1.0
23,mmu00280,"Valine,_leucine_and_isoleucine_degradation",1.0
24,mmu00290,"Valine,_leucine_and_isoleucine_biosynthesis",1.0
25,mmu00310,Lysine_degradation,1.0
26,mmu00330,Arginine_and_proline_metabolism,1.0
27,mmu00340,Histidine_metabolism,1.0
28,mmu00350,Tyrosine_metabolism,1.0
29,mmu00360,Phenylalanine_metabolism,1.0
30,mmu00380,Tryptophan_metabolism,1.0
31,mmu00400,"Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",1.0
32,mmu00410,beta-Alanine_metabolism,1.0
33,mmu00430,Taurine_and_hypotaurine_metabolism,1.0
34,mmu00440,Phosphonate_and_phosphinate_metabolism,1.0
35,mmu00450,Selenocompound_metabolism,1.0
36,mmu00471,D-Glutamine_and_D-glutamate_metabolism,1.0
37,mmu00472,D-Arginine_and_D-ornithine_metabolism,1.0
38,mmu00480,Glutathione_metabolism,1.0
39,mmu00500,Starch_and_sucrose_metabolism,1.0
40,mmu00510,N-Glycan_biosynthesis,1.0
41,mmu00511,Other_glycan_degradation,1.0
42,mmu00512,Mucin_type_O-glycan_biosynthesis,1.0
43,mmu00513,Various_types_of_N-glycan_biosynthesis,1.0
44,mmu00514,Other_types_of_O-glycan_biosynthesis,1.0
45,mmu00515,Mannose_type_O-glycan_biosynthesis,1.0
46,mmu00520,Amino_sugar_and_nucleotide_sugar_metabolism,1.0
47,mmu00524,"Neomycin,_kanamycin_and_gentamicin_biosynthesis",1.0
48,mmu00531,Glycosaminoglycan_degradation,1.0
49,mmu00532,Glycosaminoglycan_biosynthesis,1.0
50,mmu00533,Glycosaminoglycan_biosynthesis,1.0
51,mmu00534,Glycosaminoglycan_biosynthesis,1.0
52,mmu00561,Glycerolipid_metabolism,1.0
53,mmu00562,Inositol_phosphate_metabolism,1.0
54,mmu00563,Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,1.0
55,mmu00564,Glycerophospholipid_metabolism,1.0
56,mmu00565,Ether_lipid_metabolism,1.0
57,mmu00590,Arachidonic_acid_metabolism,1.0
58,mmu00591,Linoleic_acid_metabolism,1.0
59,mmu00592,alpha-Linolenic_acid_metabolism,1.0
60,mmu00600,Sphingolipid_metabolism,1.0
61,mmu00601,Glycosphingolipid_biosynthesis,1.0
62,mmu00603,Glycosphingolipid_biosynthesis,1.0
63,mmu00604,Glycosphingolipid_biosynthesis,1.0
64,mmu00620,Pyruvate_metabolism,1.0
65,mmu00630,Glyoxylate_and_dicarboxylate_metabolism,1.0
66,mmu00640,Propanoate_metabolism,1.0
67,mmu00650,Butanoate_metabolism,1.0
68,mmu00670,One_carbon_pool_by_folate,1.0
