"gene_id","symbol"
"100038859","Olfr55"
"100038860","Olfr239"
"100038882","Isg15"
"100038909","Gm14548"
"100038947","Sirpb1c"
"100038993","Gm2002"
"100039053","Gm2023"
"100039815","Gm2436"
"100039830","Gm2446"
"100039863","Gm13306"
"100039939","Gm2506"
"100040048","Ccl27b"
"100040268","Olfr157"
"100040843","Cyp4a32"
"100041146","Gm15448"
"100041187","Olfr596"
"100041504","LOC100041504"
"100041579","Gm20878"
"100041593","LOC100041593"
"100042025","Gapdh-ps15"
"100042150","Nrg2"
"100042493","Ccl21b"
"100042555","Gm13305"
"100042690","Olfr1565"
"100043200","Olfr819"
"100043456","Gm10681"
"100043474","Olfr1564"
"100043507","Gng5-ps"
"100043674","Rbx1-ps"
"100502876","Kcnmb3"
"100503710","Gm5741"
"100504239","Gm10591"
"100504346","Gm13304"
"100504362","Gm1987"
"100504404","H2-Ea-ps"
"100529082","Gm11127"
"100705","Acacb"
"100861969","LOC100861969"
"100861978","LOC100861978"
"100862177","Gm21541"
"100862247","Gm21586"
"101314","Brk1"
"101540","Prkd2"
"101543","Wtip"
"102093","Phkb"
"102626","Mapkapk3"
"103213","Traf3ip2"
"103236","Csnk1g2"
"103583","Fbxw11"
"103806","Maml1"
"103967","Dnm3"
"103968","Plin1"
"103988","Gck"
"104086","Cyp27a1"
"104099","Itga9"
"104110","Adcy4"
"104111","Adcy3"
"104215","Rhoq"
"104318","Csnk1d"
"104394","E2f4"
"104570","Ppp4r3b"
"105244208","Rps6-ps4"
"105651","Ppp1r3e"
"105675","Ppif"
"105782","Scrib"
"105787","Prkaa1"
"105844","Card10"
"105855","Nckap1l"
"105980076","Gm45929"
"105988","Espl1"
"106025","Sharpin"
"106042","Prickle1"
"106407","Slc51a"
"106628","Trip10"
"106759","Ticam1"
"106952","Arap3"
"107448","Unc5a"
"107449","Unc5b"
"107476","Acaca"
"107589","Mylk"
"107607","Nod1"
"107746","Rapgef1"
"107831","Adgrb1"
"107986","Ddb2"
"107995","Cdc20"
"108015","Chrnb4"
"108017","Fxyd4"
"108058","Camk2d"
"108068","Grm2"
"108069","Grm3"
"108071","Grm5"
