"name","label","path.id","path.name"
"N-mmu03320-1","Leukotriene B4","mmu03320","PPAR signaling pathway"
"N-mmu03320-2","BR:br08303(C10AB fibrates)","mmu03320","PPAR signaling pathway"
"N-mmu03320-3","BR:br08303(S01BC Antiinflammatory agents, non-steroids)","mmu03320","PPAR signaling pathway"
"N-mmu03320-4","9-cis-Retinoic acid","mmu03320","PPAR signaling pathway"
"N-mmu03320-5","9-cis-Retinoic acid*","mmu03320","PPAR signaling pathway"
"N-mmu03320-6","BR:br08303(S01BC Antiinflammatory agents, non-steroids)*","mmu03320","PPAR signaling pathway"
"N-mmu03320-48","9(S)-HODE","mmu03320","PPAR signaling pathway"
"N-mmu03320-49","9-cis-Retinoic acid**","mmu03320","PPAR signaling pathway"
"N-mmu03320-54","BR:br08303(A10BG Thiazolidinediones)","mmu03320","PPAR signaling pathway"
"N-mmu03320-14 15","Ppara Rxra","mmu03320","PPAR signaling pathway"
"N-mmu03320-16 17","Ppard Rxra","mmu03320","PPAR signaling pathway"
"N-mmu03320-18 19","Pparg Rxra","mmu03320","PPAR signaling pathway"
"N-mmu03320-37","Hmgcs2","mmu03320","PPAR signaling pathway"
"N-mmu03320-61","Apoa1","mmu03320","PPAR signaling pathway"
"N-mmu03320-46","Apoa2","mmu03320","PPAR signaling pathway"
"N-mmu03320-57","Apoc3","mmu03320","PPAR signaling pathway"
"N-mmu03320-64","Apoa5","mmu03320","PPAR signaling pathway"
"N-mmu03320-47","Pltp","mmu03320","PPAR signaling pathway"
"N-mmu03320-65","Me1","mmu03320","PPAR signaling pathway"
"N-mmu03320-55","Scd1","mmu03320","PPAR signaling pathway"
"N-mmu03320-56","Fads2","mmu03320","PPAR signaling pathway"
"N-mmu03320-33","Cyp7a1","mmu03320","PPAR signaling pathway"
"N-mmu03320-58","Cyp8b1","mmu03320","PPAR signaling pathway"
"N-mmu03320-59","Nr1h3","mmu03320","PPAR signaling pathway"
"N-mmu03320-63","Dbi","mmu03320","PPAR signaling pathway"
