"gene_id","symbol"
11298,"Aanat"
11303,"Abca1"
11304,"Abca4"
11305,"Abca2"
11306,"Abcb7"
11307,"Abcg1"
11350,"Abl1"
11352,"Abl2"
11363,"Acadl"
11364,"Acadm"
11370,"Acadvl"
11409,"Acads"
11416,"Slc33a1"
11418,"Asic2"
11419,"Asic1"
11421,"Ace"
11423,"Ache"
11428,"Aco1"
11429,"Aco2"
11430,"Acox1"
11431,"Acp1"
11432,"Acp2"
11433,"Acp5"
11435,"Chrna1"
11438,"Chrna4"
11440,"Chrna6"
11441,"Chrna7"
11443,"Chrnb1"
11444,"Chrnb2"
11447,"Chrnd"
11448,"Chrne"
11449,"Chrng"
11450,"Adipoq"
11461,"Actb"
11464,"Actc1"
11465,"Actg1"
11468,"Actg2"
11475,"Acta2"
11477,"Acvr1"
11479,"Acvr1b"
11480,"Acvr2a"
11481,"Acvr2b"
11482,"Acvrl1"
11484,"Aspa"
11486,"Ada"
11491,"Adam17"
11512,"Adcy6"
11513,"Adcy7"
11514,"Adcy8"
11515,"Adcy9"
11516,"Adcyap1"
11517,"Adcyap1r1"
11520,"Plin2"
11522,"Adh1"
11529,"Adh7"
11532,"Adh5"
11534,"Adk"
11535,"Adm"
11537,"Cfd"
11539,"Adora1"
11540,"Adora2a"
11541,"Adora2b"
11542,"Adora3"
11545,"Parp1"
11546,"Parp2"
11548,"Adra1b"
11549,"Adra1a"
11550,"Adra1d"
11551,"Adra2a"
11552,"Adra2b"
11553,"Adra2c"
11554,"Adrb1"
11555,"Adrb2"
11556,"Adrb3"
11564,"Adsl"
11565,"Adssl1"
11566,"Adss"
11576,"Afp"
11593,"Aga"
11600,"Angpt1"
11601,"Angpt2"
11602,"Angpt4"
11603,"Agrn"
11604,"Agrp"
11605,"Gla"
11606,"Agt"
11607,"Agtr1a"
11608,"Agtr1b"
11609,"Agtr2"
11611,"Agxt"
11614,"Nr0b1"
11615,"Gm4737"
11622,"Ahr"
11628,"Aicda"
11634,"Aire"
11636,"Ak1"
11637,"Ak2"
11639,"Ak4"
11647,"Alpl"
11648,"Akp3"
11650,"Alppl2"
11651,"Akt1"
11652,"Akt2"
11655,"Alas1"
11656,"Alas2"
11657,"Alb"
11658,"Alcam"
11666,"Abcd1"
11668,"Aldh1a1"
11669,"Aldh2"
11670,"Aldh3a1"
11671,"Aldh3a2"
11674,"Aldoa"
11676,"Aldoc"
11677,"Akr1b3"
11684,"Alox12"
11685,"Alox12e"
11686,"Alox12b"
11687,"Alox15"
11688,"Alox8"
11689,"Alox5"
11690,"Alox5ap"
11702,"Amd1"
11705,"Amh"
11717,"Ampd3"
11720,"Mat1a"
11722,"Amy1"
11739,"Slc25a4"
11740,"Slc25a5"
11754,"Aoc3"
11758,"Prdx6"
11761,"Aox1"
11764,"Ap1b1"
11765,"Ap1g1"
11766,"Ap1g2"
11767,"Ap1m1"
11768,"Ap1m2"
11769,"Ap1s1"
11770,"Fabp4"
11771,"Ap2a1"
11772,"Ap2a2"
11773,"Ap2m1"
11774,"Ap3b1"
11775,"Ap3b2"
11776,"Ap3d1"
11777,"Ap3s1"
11778,"Ap3s2"
11781,"Ap4m1"
11782,"Ap4s1"
11783,"Apaf1"
11789,"Apc"
11792,"Apex1"
11793,"Atg5"
11796,"Birc3"
11797,"Birc2"
11798,"Xiap"
11799,"Birc5"
11806,"Apoa1"
11807,"Apoa2"
11808,"Apoa4"
11812,"Apoc1"
11813,"Apoc2"
11814,"Apoc3"
11816,"Apoe"
11818,"Apoh"
11820,"App"
11821,"Aprt"
11826,"Aqp1"
11827,"Aqp2"
11828,"Aqp3"
11829,"Aqp4"
11830,"Aqp5"
11832,"Aqp7"
11833,"Aqp8"
11834,"Aqr"
11835,"Ar"
11836,"Araf"
11837,"Rplp0"
11839,"Areg"
11840,"Arf1"
11841,"Arf2"
11842,"Arf3"
11843,"Arf4"
11844,"Arf5"
11845,"Arf6"
11846,"Arg1"
11847,"Arg2"
11848,"Rhoa"
11854,"Rhod"
11855,"Arhgap5"
11857,"Arhgdib"
11863,"Arnt"
11865,"Arntl"
11867,"Arpc1b"
11871,"Art2a"
11872,"Art2b"
11881,"Arsb"
11883,"Arsa"
11886,"Asah1"
11889,"Asgr1"
11890,"Asgr2"
11898,"Ass1"
11905,"Serpinc1"
11906,"Zfhx3"
11908,"Atf1"
11909,"Atf2"
11911,"Atf4"
11920,"Atm"
11927,"Atox1"
11928,"Atp1a1"
11931,"Atp1b1"
11932,"Atp1b2"
11933,"Atp1b3"
11936,"Fxyd2"
11937,"Atp2a1"
11938,"Atp2a2"
11941,"Atp2b2"
11944,"Atp4a"
11945,"Atp4b"
11946,"Atp5a1"
11947,"Atp5b"
11949,"Atp5c1"
11950,"Atp5pb"
11951,"Atp5g1"
11957,"Atp5j"
11958,"Atp5k"
11964,"Atp6v1a"
11966,"Atp6v1b2"
11972,"Atp6v0d1"
11973,"Atp6v1e1"
11974,"Atp6v0e"
11975,"Atp6v0a1"
11977,"Atp7a"
11979,"Atp7b"
11984,"Atp6v0c"
11992,"Auh"
11997,"Akr1b7"
11998,"Avp"
12000,"Avpr2"
12005,"Axin1"
12006,"Axin2"
12010,"B2m"
12012,"Baat"
12015,"Bad"
12017,"Bag1"
12018,"Bak1"
12021,"Bard1"
12028,"Bax"
12035,"Bcat1"
12036,"Bcat2"
12039,"Bckdha"
12040,"Bckdhb"
12042,"Bcl10"
12043,"Bcl2"
12044,"Bcl2a1a"
12045,"Bcl2a1b"
12046,"Bcl2a1c"
12047,"Bcl2a1d"
12048,"Bcl2l1"
12051,"Bcl3"
12053,"Bcl6"
12061,"Bdkrb1"
12062,"Bdkrb2"
12064,"Bdnf"
12068,"Bet1"
12070,"Bex3"
12091,"Glb1"
12095,"Bglap3"
12096,"Bglap"
12097,"Bglap2"
12116,"Bhmt"
12122,"Bid"
12123,"Hrk"
12124,"Bik"
12125,"Bcl2l11"
12140,"Fabp7"
12144,"Blm"
12145,"Cxcr5"
12151,"Bmi1"
12154,"Bmp10"
12155,"Bmp15"
12156,"Bmp2"
12159,"Bmp4"
12160,"Bmp5"
12161,"Bmp6"
12162,"Bmp7"
12163,"Bmp8a"
12164,"Bmp8b"
12165,"Gdf2"
12166,"Bmpr1a"
12167,"Bmpr1b"
12168,"Bmpr2"
12176,"Bnip3"
12177,"Bnip3l"
12180,"Smyd1"
12182,"Bst1"
12183,"Bpgm"
12189,"Brca1"
12190,"Brca2"
12192,"Zfp36l1"
12193,"Zfp36l2"
12209,"Brs3"
12211,"Birc6"
12223,"Btc"
12226,"Btg1"
12227,"Btg2"
12228,"Btg3"
12229,"Btk"
12234,"Btrc"
12235,"Bub1"
12236,"Bub1b"
12237,"Bub3"
12257,"Tspo"
12258,"Serping1"
12259,"C1qa"
12260,"C1qb"
12262,"C1qc"
12263,"C2"
12265,"Ciita"
12266,"C3"
12267,"C3ar1"
12268,"C4b"
12269,"C4bp"
12273,"C5ar1"
12274,"C6"
12279,"C9"
12282,"Hyou1"
12283,"Cab39"
12286,"Cacna1a"
12287,"Cacna1b"
12288,"Cacna1c"
12289,"Cacna1d"
