Cell Type,NO.,Group 0,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9
PrE,1,dense_13,dense_24,dense_35,dense_27,dense_66,dense_74,dense_42,dense_56,dense_55,dense_81
early2cell,2,ppi_59,ppi_227,ppi_125,ppi_133,TF: stat5a,TF: crx,TF: fli1,dense_6,ppi_60,TF: zeb1
mid2cell,3,dense_73,dense_98,dense_31,dense_4,dense_34,dense_24,dense_96,dense_26,dense_47,dense_46
4cell,4,dense_47,dense_21,dense_67,TF: pgr,TF: irf5,TF: mxd1,dense_42,dense_62,ppi_12,ppi_197
late2cell,5,dense_95,dense_23,dense_35,dense_99,dense_27,dense_7,dense_93,TF: nr3c1,TF: e2f4,ppi_325
BMDC,6,dense_36,dense_98,dense_84,dense_10,dense_16,dense_68,dense_67,dense_59,dense_61,dense_91
8cell,7,dense_9,dense_13,dense_22,dense_52,dense_1,dense_92,dense_15,dense_55,dense_43,dense_80
16cell,8,dense_36,dense_95,dense_44,dense_46,dense_88,dense_98,dense_4,dense_49,dense_64,dense_87
midblast,9,dense_72,dense_44,dense_89,dense_95,dense_21,dense_43,dense_7,dense_78,dense_67,dense_94
fibroblast,10,dense_5,ppi_125,ppi_222,ppi_223,TF: nfatc2,ppi_301,TF: tal2,TF: sox12,dense_81,TF: znf589
lateblast,11,dense_66,dense_55,dense_76,dense_78,dense_24,dense_37,dense_56,dense_42,dense_79,dense_20
zy,12,TF: zbtb16,ppi_10,ppi_41,ppi_238,ppi_204,TF: irf8,ppi_57,ppi_201,ppi_280,TF: foxd3
earlyblast,13,dense_78,dense_83,dense_62,dense_66,dense_23,dense_90,dense_15,dense_42,dense_50,dense_54
BXC,14,dense_4,dense_14,dense_74,dense_1,dense_82,dense_84,dense_86,dense_12,dense_85,dense_31
ES,15,dense_95,dense_4,dense_62,dense_52,dense_24,dense_37,dense_88,dense_73,dense_22,dense_55
C57twocell,16,dense_6,dense_10,TF: rxra,TF: runx2,TF: gabpb2,ppi_193,ppi_186,TF: etv4,ppi_107,TF: maz
dense_95,4,hoxc4 heyl peli3 hsd17b11 otop2 tanc1 dnajb7 sostdc1 hpca nr4a3 wnt11 rufy4 kcnk12 noxa1 cd3g nr2f1 chrnb1 crygb igdcc3 dchs1 efs nos1ap son lrp3 clic5 myo7a itpkb sfxn1 lhx2 armcx1 abi2 srp14 tspyl2 birc7 cdh4 efcab2 akap3 cdc42ep1 anapc1 sgtb vcl ppp2r5a ubr1 fbxo4 tap1
dense_55,4,akap3 card9 jrkl dok7 myo1e ap3s1 acvrl1 lgi3 tspan8 nanp nms gng2 ndrg1 efhd2 dnlz arhgap31 tifa spire2 grin1 tmprss2 qrfp dnajb7 slc17a9 itk traf3ip3 wfdc5 fabp3 she ifi44 eps8l1 cbln3 fmnl1 evx2 gpr137c tspan1 kctd4 crygb ticam2 gpr4 tmsb10 ido1 apol6 fgfr2 tmem54 hist1h1b ctsz dmrta2 htatip2 rps6kb2 il18bp gabpb2 bcl6 gsta4 sun2 efs ccdc42 tnfsf11 eomes krt18 trmt5 gpr132 scarb2 gtf2f2 dock8 ppl crip1 efcab2 krtap17-1 prpsap2 anxa6 ntrk2 samd8 slc17a7 cyb5rl flrt3 slc12a3 myh9 nudt15 cyc1 brix1 ing2 tcte1 rbl1 sgta gripap1 fuz fkbp1b myo7a tmem59 sgk3 rgma krt14 tulp2 cops4 slc6a14 acadvl snx12 wdr1 il7r ankmy1 nudt22
dense_42,4,akap3 acvrl1 dnajb7 lgi3 spire2 gng2 ap3s1 immp2l ticam2 ndrg1 wfdc5 ntrk2 dpysl4 il18bp tspan8 nanp grin1 rbp2 she cbln3 apol6 jrkl ssh2 oxsm fgfr2 eif4ebp3 tmsb10 tnfsf11 crygb efcab2 trmt5 nms cd3g rps6kb2 ankmy1 htatip2 lag3 hrk krt18 cnga3 ido1 ubr1 scarb2 tifa hist1h1b dusp6 myo7a slc17a9 ccdc42 nr2f1 dmrta2 samd8 sla vcl traf3ip3 zfyve28 aif1l ptgir amn snap47 rasgrf1 gpr4 card9 mip rbl1 evx2 igsf1 kctd4 psmd13 vrk1 tspan1 tulp2 eomes myo1e limk2 lpar4 tmprss2 fmnl1 slc6a14 slc17a7 ifi44 hnrnpa0 pde7a pms1 bcl6 dok7 otop2 crip1 trappc6b crygc qrfp pola1 tmem86a tram1l1 heyl slco4a1 eif2b5 dlgap3 nudt15 sun2 efhd2 poldip2 nkx2-3 myo1g rfesd ankrd39 ccdc89 gabpb2 cd2bp2 zcwpw1 efna3 clic5 ftsj1 mapk8ip1 cyc1 zscan18 myh9 s100a14 fuz prkaa1 p2ry6 tcte1 rpap3 ppp1r9a mdm2 ing2 lgals1 ppp1r1a plp2 tpm1 col11a2 ttc1 ppl nmral1 osm hdac9 ubl7 nudt22 mettl10 wfikkn2 rbpj rad18 kptn gnpat rcan1 rhpn1 brix1 atp6v0e2 klf1 gata2 wdr46 prdm1 h2afv ostm1 iqgap2 klhl36 dnlz hmox2 spag7 batf3 kcnk12 pigv rgma uaca stam2 krt14 ctsz cd40 arhgef10 ahi1 mettl8 amph fndc4 cyth2 fabp3 oaz1 agpat1 pirt alg1 cd2ap hist1h1d cpne4 pmm1 slc22a17 pus10 cachd1 cd2 crb2 evpl mst1r sart1 tmx1 spred3 cdh4 kdm3a hist1h4b far1 enpp1 hook1 ino80c srp14 spopl tepp hist1h4c arhgap31 azin1 hsd17b11 psmc1 iqcb1 sdccag8 mdm1 mfhas1 prps2 lpin1 mtdh rufy4 tmem41b rbm39 lss ythdf3 krt8 rras fbxl4 myl2 ucn2 tmem54 lsm12 cops7a ube2l3 sgta recql klhl2 snrpa1 gpr132 dlx2 samm50 tbpl1 prdm10 smek2 atad5 fam129a ttc9 psmd5 inf2 mrpl16 lat2 thnsl1 slc22a4 cln3 hpca tbr1 nudcd2 atp6v0a1 eprs cox4i1 cdx2 cyb5rl terf2 gsta4 gja1 pcdhb14 fam122b casp6 cdk5 chd1l rpl10l dennd4a
dense_4,4,acvrl1 ntrk2 evx2 akap3 igsf1 spire2 rps6kb2 kcnk12 amn nr2f1 myo7a slc17a9 lgi3 dok7 psd hnrnpa0 klhl36 col11a2 grin1 apol6 tnfsf11 rbl1 she samd8 tnk2 il18bp cse1l mthfd1l dnlz ing2 pirt sema4c ctnna1 otop2 ido1 card9 eif4ebp3 cars fuz immp2l gpr132 efs lag3 map3k14 pde7a crb2 son efhd2 trmt5 ppp1r9a hrk ppcs wdr11 pigv evpl mdn1 pold2 arhgef10 cyb5r1 maf n4bp3 efcab2 tbpl1 tbx10 tecpr1 limk2 rangrf rbm26 spopl abcd1 cox11 dlgap3 dhps pdcd4 mcm9 iqgap2 dsel hook2 dnajb7 dars2 stim1 etv5 hmox2 jrkl
dense_24,4,akap3 acvrl1 dok7 grin1 il18bp she ido1 card9 ap3s1 hrk eps8l1 jrkl dnlz gng2 samd8 slc17a9 lgi3 ntrk2 apol6 evx2 gpr132 myo1e dpysl4 ftsj1 gabpb2 efcab2 immp2l lpar4 trmt5 nanp spire2 nms cyc1 hist1h1b traf3ip3 krt14 eif4ebp3 paqr3 rps6kb2 tcte1 tnfsf11 oxsm tet2 fuz ttll5 tnk2 ubxn11 gpr4 ssh2 slc25a22 ccdc42 ifi44 slc17a7 aif1l nudt15 zfyve28 pou4f2 ctsz tmem54 eomes dmrta2 dlgap3 tulp2 snx12 gsta4 ppcs rbpj arhgap31 lag3 ppp1r9a batf3 slc17a5 sun2 smek2 myl7 hook1 map3k14 rbp2 igsf1 sdccag8 evpl ubr1 fbxo44 etv5 efs tnip3 cse1l spopl mip gpnmb egr3 ccl3 fmnl1 ndrg1 klhl2 spns2 clmn ppl efhd2 anxa6 gtf2f2 amn capns1 spag7 anxa1 tmsb10 hnrnpa0 tspan2 lmf2 prkch fgfr2 rgma flrt3 ccdc103 elk3 poldip2 mtdh tbc1d10c fibp ift122 krt18 kcnn4 tspan17 dhdds fis1 brap metrnl terf2ip exph5 ing2 slc35a5 ankmy1 vcan fam122b slamf9 bcl6 esyt2 ppp1r1a mras pde7a il7r ccr5 kctd4 pofut1 lama5 ppp2r5d gnpat sbf1 atp6v1g1 trmu pigv nmral1 ipo4 far1 wdr11 mfhas1 myo7a slc25a46 tgif1 ttc9 coro1a nudcd2 bach2 ube2o chst15 lrpap1 mapk8ip1 nfatc3 mtap bahd1 tram1l1 lig3 fbxl4 gpr137c stag1 jam3 susd1 tifa lrg1 cachd1 fgfr3 taf12 osgep sec23ip sod2 p4ha2 reps2 cdh24 a2m col11a2 st3gal4 podxl ppp1cb dsel hk2 pirt scn8a mns1 sgta pip4k2b hnf1b slco4a1 fgf3 dnajb7 gja1 cpt2 pttg1ip slc39a11 gnaq srp14 kcnk12 ptgr1 usp22 cdx2 fam131c fermt3 clic5 dars2 irf1 slc15a3 pdk1 fhl2 bst2 slc36a4 dusp6 atad5 cap1 n4bp3 ppp1r14c iqcc npr1 bmper pafah1b3 slc6a18 klhl3 lrfn4 nbn zscan18 tspan8 litaf prep
dense_98,3,
dense_78,3,akap3 dnajb7 htatip2 gng2 tspan8 wfdc5 wfikkn2 qrfp otop2 cbln3 ndrg1 kctd4 rufy4 ccdc42 slc6a14 nanp nms crygb sostdc1 myl2 fabp3 efhd2 hist1h1b acvrl1 ppl efcab2 noxa1 hoxc4 aif1l rbp2 sla tram1l1 srp14 ap3s1 tmsb10 mdm2 ptgir batf3 krtap17-1 tifa ticam2 lgi3 trmt5 peli3 ankmy1 hspe1 amph oxsm hdac9 hs3st3b1 immp2l slco4a1 smek2 krt18 cdx1 tmem25 apol6 pgd cnga3 rasgrf1 cd3g apcdd1 haus5 ankrd39 mbd4 slc12a3 tspan1 dmrta2 rgma gja1 gpr37l1 slc31a1 gin1 snap47 tbxas1 crygc chchd1 adsl prep tceb2 adam2 rnasel ikbke uqcr10 ift122 prlhr mettl10 fgfr2 lpar4 cyc1 s100a14 myo1g scarb2 gaa foxred1 lace1 arhgap31 ttc9 ndufv2 myo1e gtf2f1 klhl3 exoc7 rabgap1 pole3 heyl zcchc7 runx3 cdrt4 dnlz prkag1 ptpn6 rai14 fkbp1b dph2 sgta taf15 nos1ap evpl ing2 kdelc1 aif1 mst1r amn oaz1 trit1 tmem86a med8 dusp6 pmaip1 pik3cg gtf2f2 zw10 dock8 terf2ip arhgap15 ikbkg cd40 fcho2 ctsz sun2 dlx2 grin1 plekha1 rbl1 gnpat dennd4a she enpp1 tff3 cryzl1 ttc1 gata3 hira txn2 pigv eepd1 gss hist1h4d eif4ebp3 crip1
dense_67,3,rufy4 wfikkn2 htatip2 dnajb7 wfdc5 cbln3
dense_66,3,akap3 dnajb7 gng2 acvrl1 tspan8 nanp myo1e slc6a14 htatip2 ap3s1 hist1h1b nms il18bp trmt5 ndrg1 cbln3 fabp3 otop2 efhd2 dnlz crygc rufy4 wfdc5 oxsm ntrk2 rasgrf1 slco4a1 lgi3 ccdc42 krt18 sla apol6 crygb dok7 grin1 jrkl ticam2 hrk cd3g efcab2 tspan1 qrfp srp14 aif1l ing2 sostdc1 rbp2 tifa dpysl4 vcl lgals1 card9 peli3 ssh2 dock8 enpp1 anxa6 ankmy1 ppl scarb2 cnga3 tmsb10 bcl6 apcdd1 spire2 ift122 itk nkx2-3 pofut1 kptn dmrta2 prkag1 prkaa1 ostm1 pgd sun2 id2 slc22a4 vrk1 tram1l1 efs slc17a7 tmem54 ubxn11 hoxc4 coro1a krtap17-1 bach2 tulp2 ctsz inf2 ttc9 heyl prep gja1 kctd4 dlgap3 crip1 eps8l1 sgta hook1 tcte1 myo1g dlx2 rbl1 cdx2 ndufa7 bid ucn2 atad5 phf5a fermt3 azin1 she mapk8ip1 ttc1 eomes igsf1 nos1ap uqcr11 batf3 klhl3 slc25a46 gsta4 dusp6 pcyox1l noxa1 fgfr2 sod2 pde7a lig3 tmem86a hnf1b slc12a3 rpap3 tmprss2 acot2 eif2b5 efna3 hdac9 kdm3b uba52 arhgap31 samd8 fmnl1 rgma gpr4 hist1h4c fbxl4 smek2 plaur sgk3 trappc6b pbk ascc2 ubr1 bcl11b poldip2 myl6 polr1a spag7 lace1 pola1 adsl nr2f1 rpp30 acrbp rad18 cd2ap mdm2 gata2 trit1 eps15 psmd13 tceb2 klf1 prkcd ido1 nudt22 lag3 gpr132 ccdc89 gpr137c casp6 myl2 h2afv acadvl mpp6 zcwpw1 ino80c prdm1 mpped2 cpne4 eif4ebp3 recql hspe1 ppp2r5d sar1a myh9 kidins220 s100a14 ppt2 appl1 immp2l bub1 hist1h4b psmc1 wfikkn2 tnfsf11 hgs ifi44 mif4gd mtap irf1 cox4i1 paqr3 fhl2 agbl5 ppp1r1a pigv hsd17b11 ubl7 cdh24 traf3ip3 slc39a2 nudt15 cse1l gaa slc17a9 abcd1 pttg1ip prr12 gdf11 atp6v0e2 ufc1 ankrd39 slc39a4 batf ankzf1 mrpl16 ptgir tmem41b samm50 spns2 tmx1 ndufv2 pank4 bahd1 chpf2 lrg1 brd9 mis12 reep3 rpl10l rab13 elk3 prkrip1 atrip cd2bp2 myl7 zfyve27 krt14 ythdf3 cops7a upk1a hp1bp3 snx33 gin1 zfyve1 arfgap1 eno3 chst12 pole3 slc39a11 adprhl2 hist1h1d vps26a dnajc15 myo7a rfesd hpca kdelc1 galr2 mst1r mdm1 casc4
dense_62,3,dnajb7 wfdc5 htatip2 crygb slc6a14 tspan1 tspan8 rufy4 qrfp cbln3 crygc noxa1 nos1ap akap3 gng2 rasgrf1 cd3g wfikkn2 ankmy1 ndrg1 ccdc42 nanp vcl srp14 efs tmsb10 hsd17b11 dock8 slc12a3 myl2 dmrta2 upk1a slc22a4 krtap17-1 efcab2 apcdd1 myo7a ticam2 haus5 lgi3 lgals1 cnga3 eomes gss uqcr11 snap47 cpne4 fabp3 slco4a1 marveld3 pms1 scarb2 igsf1 psmd14 satb2 krt18 acsbg1 nab1 foxred1 slc31a1 plaur zyx tifa aif1l atp5e clic5 lima1 enpp1 dstn osr2 ndufv2 nms fmnl1 klf1 lrrc20 dnlz rab3ip samm50 ift122 pde7a gpatch4 ikbke ntrk2 cebpa efhd2 fgfr2 hist1h4d
